manufacturerId,Manufacturer Name
0,Alfa Romeo
1,Maserati
2,ERA
3,Talbot
4,Alta
5,JAP
6,Gordini
7,Ferrari
8,Speluzzi
9,Jaguar
10,Veritas
11,BRM
12,OSCA
13,Küchen
14,Nash
15,Bristol
16,Platé
17,Butterworth
18,Lea Francis
19,BMW
20,BPM
21,BristolCooper
22,Lea
23,EMW
24,Mercedes
25,Vanwall
26,Lancia
27,Volpini
28,Bugatti
29,Climax
30,Porsche
31,Borgward
32,Aston Martin
33,Offenhauser
34,Mec
35,Castellotti
36,Scarab
37,Ford
38,Honda
39,ATS
40,Repco
41,Weslake
42,Matra
43,Pratt & Whitney
44,Tecno
45,Marlboro
46,Williams
47,Renault
48,Hart
49,TAG
50,Motori Moderni
51,Zakspeed
52,Megatron
53,Judd
54,Osella
55,Lamborghini
56,Yamaha
57,Subaru
58,Life
59,Ilmor
60,Mugen
61,Sauber
62,Peugeot
63,Petronas
64,Mecachrome
65,Playlife
66,Arrows
67,Supertec
68,Cosworth
69,Fondmetal
70,Asiatech
71,European
72,Acer
73,Toyota
